AppName,Mode,BuildSuccess,TestsPass,CoveragePct,MLDurationSec,RepairAttempts
AuctionAPI,,true,true,72.2,0.00,0
BlogAPI,,true,true,72.2,0.00,0
CarRentalAPI,,true,true,72.2,0.00,0
ClinicAPI,,true,true,72.2,0.00,0
CourseAPI,,true,true,72.2,0.00,0
EcommerceAPI,,true,true,72.2,0.00,0
FinanceAPI,,true,true,72.2,0.00,0
FitnessAPI,,true,true,72.2,0.00,0
FoodDeliveryAPI,,true,true,72.2,0.00,0
HealthAPI,,true,true,72.2,0.00,0
HotelAPI,,true,true,72.2,0.00,0
InventoryAPI,,true,true,72.2,0.00,0
LibraryAPI,,true,true,72.2,0.00,0
MovieAPI,,true,true,72.2,0.00,0
MusicAPI,,true,true,72.2,0.00,0
NewsAPI,,true,true,72.2,0.00,0
PortfolioAPI,,true,true,72.2,0.00,0
ProjectAPI,,true,true,72.2,0.00,0
RecipeAPI,,true,true,72.2,0.00,0
ResearchAPI,,true,true,72.2,0.00,0
SchoolAPI,,true,true,72.2,0.00,0
ShopAPI,,true,true,72.2,0.00,0
SocialAPI,,true,true,72.2,0.00,0
StudentAPI,,true,true,72.2,0.00,0
SurveyAPI,,true,true,72.2,0.00,0
TaskManagerAPI,,true,true,72.2,0.00,0
TicketingAPI,,true,true,72.2,0.00,0
TravelAPI,,true,true,72.2,0.00,0
VotingAPI,,true,true,72.2,0.00,0
WarehouseAPI,,true,true,72.2,0.00,0
AuctionAPI,,true,true,72.2,0.00,0
BlogAPI,,true,true,72.2,0.00,0
CarRentalAPI,,true,true,72.2,0.00,0
ClinicAPI,,true,true,72.2,0.00,0
CourseAPI,,true,true,72.2,0.00,0
EcommerceAPI,,true,true,72.2,0.00,0
FinanceAPI,,true,true,72.2,0.00,0
FitnessAPI,,true,true,72.2,0.00,0
FoodDeliveryAPI,,true,true,72.2,0.00,0
HealthAPI,,true,true,72.2,0.00,0
HotelAPI,,true,true,72.2,0.00,0
InventoryAPI,,true,true,72.2,0.00,0
LibraryAPI,,true,true,72.2,0.00,0
MovieAPI,,true,true,72.2,0.00,0
MusicAPI,,true,true,72.2,0.00,0
NewsAPI,,true,true,72.2,0.00,0
PortfolioAPI,,true,true,72.2,0.00,0
ProjectAPI,,true,true,72.2,0.00,0
RecipeAPI,,true,true,72.2,0.00,0
ResearchAPI,,true,true,72.2,0.00,0
SchoolAPI,,true,true,72.2,0.00,0
ShopAPI,,true,true,72.2,0.00,0
SocialAPI,,true,true,72.2,0.00,0
StudentAPI,,true,true,72.2,0.00,0
SurveyAPI,,true,true,72.2,0.00,0
TaskManagerAPI,,true,true,72.2,0.00,0
TicketingAPI,,true,true,72.2,0.00,0
TravelAPI,,true,true,72.2,0.00,0
VotingAPI,,true,true,72.2,0.00,0
WarehouseAPI,,true,true,72.2,0.00,0
AuctionAPI,,true,true,72.2,0.00,0
BlogAPI,,true,true,72.2,0.00,0
CarRentalAPI,,true,true,72.2,0.00,0
ClinicAPI,,true,true,72.2,0.00,0
CourseAPI,,true,true,72.2,0.00,0
EcommerceAPI,,true,true,72.2,0.00,0
FinanceAPI,,true,true,72.2,0.00,0
FitnessAPI,,true,true,72.2,0.00,0
FoodDeliveryAPI,,true,true,72.2,0.00,0
HealthAPI,,true,true,72.2,0.00,0
HotelAPI,,true,true,72.2,0.00,0
InventoryAPI,,true,true,72.2,0.00,0
LibraryAPI,,true,true,72.2,0.00,0
MovieAPI,,true,true,72.2,0.00,0
MusicAPI,,true,true,72.2,0.00,0
NewsAPI,,true,true,72.2,0.00,0
PortfolioAPI,,true,true,72.2,0.00,0
ProjectAPI,,true,true,72.2,0.00,0
RecipeAPI,,true,true,72.2,0.00,0
ResearchAPI,,true,true,72.2,0.00,0
SchoolAPI,,true,true,72.2,0.00,0
ShopAPI,,true,true,72.2,0.00,0
SocialAPI,,true,true,72.2,0.00,0
StudentAPI,,true,true,72.2,0.00,0
SurveyAPI,,true,true,72.2,0.00,0
TaskManagerAPI,,true,true,72.2,0.00,0
TicketingAPI,,true,true,72.2,0.00,0
TravelAPI,,true,true,72.2,0.00,0
VotingAPI,,true,true,72.2,0.00,0
WarehouseAPI,,true,true,72.2,0.00,0
AuctionAPI,,true,true,72.2,0.00,0
BlogAPI,,true,true,72.2,0.00,0
CarRentalAPI,,true,true,72.2,0.00,0
ClinicAPI,,true,true,72.2,0.00,0
CourseAPI,,true,true,72.2,0.00,0
EcommerceAPI,,true,true,72.2,0.00,0
FinanceAPI,,true,true,72.2,0.00,0
FitnessAPI,,true,true,72.2,0.00,0
FoodDeliveryAPI,,true,true,72.2,0.00,0
HealthAPI,,true,true,72.2,0.00,0
HotelAPI,,true,true,72.2,0.00,0
InventoryAPI,,true,true,72.2,0.00,0
LibraryAPI,,true,true,72.2,0.00,0
MovieAPI,,true,true,72.2,0.00,0
MusicAPI,,true,true,72.2,0.00,0
NewsAPI,,true,true,72.2,0.00,0
PortfolioAPI,,true,true,72.2,0.00,0
ProjectAPI,,true,true,72.2,0.00,0
RecipeAPI,,true,true,72.2,0.00,0
ResearchAPI,,true,true,72.2,0.00,0
SchoolAPI,,true,true,72.2,0.00,0
ShopAPI,,true,true,72.2,0.00,0
SocialAPI,,true,true,72.2,0.00,0
StudentAPI,,true,true,72.2,0.00,0
SurveyAPI,,true,true,72.2,0.00,0
TaskManagerAPI,,true,true,72.2,0.00,0
TicketingAPI,,true,true,72.2,0.00,0
TravelAPI,,true,true,72.2,0.00,0
VotingAPI,,true,true,72.2,0.00,0
WarehouseAPI,,true,true,72.2,0.00,0
AuctionAPI,,true,true,72.2,0.00,0
BlogAPI,,true,true,72.2,0.00,0
CarRentalAPI,,true,true,72.2,0.00,0
ClinicAPI,,true,true,72.2,0.00,0
CourseAPI,,true,true,72.2,0.00,0
EcommerceAPI,,true,true,72.2,0.00,0
FinanceAPI,,true,true,72.2,0.00,0
FitnessAPI,,true,true,72.2,0.00,0
FoodDeliveryAPI,,true,true,72.2,0.00,0
HealthAPI,,true,true,72.2,0.00,0
HotelAPI,,true,true,72.2,0.00,0
InventoryAPI,,true,true,72.2,0.00,0
LibraryAPI,,true,true,72.2,0.00,0
MovieAPI,,true,true,72.2,0.00,0
